date,family,unit_sales,promo_count,transactions,oil_price,is_holiday,holiday_count,day_of_week,month,week_of_year,day_of_month,quarter,dow_sin,dow_cos,month_sin,month_cos,time_index,lag_1,lag_7,lag_14,lag_28,lag_56,target,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_7,rolling_std_14,promo_lag_1,promo_lag_7,lag_diff_1
2013-03-13,BEVERAGES,45023.0,0,72010,92.47,0.0,0.0,2,3,11,13,1,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17,71,42810.0,50242.0,44791.0,46575.0,49122.0,2213.0,57108.42857142857,58987.57142857143,56442.892857142855,15032.404452350516,16406.57578634151,0.0,0.0,-7432.0
2013-03-14,BEVERAGES,39000.0,0,67393,93.03,0.0,0.0,3,3,11,14,1,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17,72,45023.0,46922.0,42710.0,41366.0,41646.0,-6023.0,56362.857142857145,59004.142857142855,56387.46428571428,15550.22886678919,16391.243552848322,0.0,0.0,-1899.0
2013-03-15,BEVERAGES,50897.0,0,75533,93.49,0.0,0.0,4,3,11,15,1,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,73,39000.0,51941.0,56760.0,51659.0,50245.0,11897.0,55231.142857142855,58739.142857142855,56302.96428571428,16604.37337398967,16701.982235453583,0.0,0.0,-12941.0
2013-03-16,BEVERAGES,76480.0,0,91900,93.56333333333332,0.0,0.0,5,3,11,16,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,74,50897.0,78980.0,86736.0,81385.0,77014.0,25583.0,55082.0,58320.357142857145,56275.75,16643.493924053328,16828.450258220662,0.0,0.0,-28083.0
2013-03-17,BEVERAGES,82922.0,0,89346,93.63666666666666,0.0,0.0,6,3,11,17,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,75,76480.0,78363.0,87516.0,66902.0,83841.0,6442.0,54724.857142857145,57587.78571428572,56100.57142857143,16061.87246689679,15680.385131546573,0.0,0.0,-1883.0
2013-03-18,BEVERAGES,47279.0,0,74418,93.71,0.0,0.0,0,3,12,18,1,0.0,1.0,1.0,6.123233995736766e-17,76,82922.0,50501.0,55912.0,51503.0,51118.0,-35643.0,55376.142857142855,57259.642857142855,56672.71428571428,17230.062578998095,15040.931658987422,0.0,0.0,32421.0
2013-03-19,BEVERAGES,42741.0,0,71841,92.44,0.0,0.0,1,3,12,19,1,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,77,47279.0,42810.0,51642.0,43284.0,42931.0,-4538.0,54915.857142857145,56643.0,56521.857142857145,17423.949049402963,15275.5680745431,0.0,0.0,4469.0
2013-03-20,BEVERAGES,47078.0,0,74145,93.21,0.0,0.0,2,3,12,20,1,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17,78,42741.0,45023.0,50242.0,47312.0,43549.0,4337.0,54906.0,56007.21428571428,56502.46428571428,17431.95672703823,15679.617377487117,0.0,0.0,-2282.0
2013-03-21,BEVERAGES,38349.0,0,69157,92.46,0.0,0.0,3,3,12,21,1,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17,79,47078.0,39000.0,46922.0,41292.0,38394.0,-8729.0,55199.57142857143,55781.21428571428,56494.107142857145,17254.174846078487,15791.510188309188,0.0,0.0,8078.0
2013-03-22,BEVERAGES,50035.0,0,71990,93.41,0.0,0.0,4,3,12,22,1,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,80,38349.0,50897.0,51941.0,46619.0,46689.0,11686.0,55106.57142857143,55168.857142857145,56389.0,17357.488286588232,16318.889483602195,0.0,0.0,-12548.0
2013-03-23,BEVERAGES,75968.0,0,91923,93.79,0.0,0.0,5,3,12,23,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,81,50035.0,76480.0,78980.0,69259.0,69586.0,25933.0,54983.42857142857,55032.71428571428,56511.0,17395.34704892032,16355.798644416716,0.0,0.0,-26445.0
2013-03-24,BEVERAGES,75445.0,0,83439,94.17,0.0,0.0,6,3,12,24,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,82,75968.0,82922.0,78363.0,77335.0,70851.0,-523.0,54910.28571428572,54817.57142857143,56750.607142857145,17290.6564335991,16033.195433293957,0.0,0.0,-6954.0
2013-03-25,BEVERAGES,49999.0,0,72992,94.55,0.0,0.0,0,3,13,25,1,0.0,1.0,1.0,6.123233995736766e-17,83,75445.0,47279.0,50501.0,48718.0,42178.0,-25446.0,53842.142857142855,54609.142857142855,56683.107142857145,15399.31085501958,15719.461318119918,0.0,0.0,28166.0
2013-03-26,BEVERAGES,42925.0,0,68469,95.99,0.0,0.0,1,3,13,26,1,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,84,49999.0,42741.0,42810.0,41366.0,40592.0,-7074.0,54230.71428571428,54573.28571428572,56728.857142857145,15239.590094162484,15730.122041819948,0.0,0.0,7258.0
2013-03-27,BEVERAGES,48816.0,0,74049,96.53,0.0,0.0,2,3,13,27,1,0.9749279121818236,-0.2225209339563143,1.0,6.123233995736766e-17,85,42925.0,47078.0,45023.0,44791.0,44583.0,5891.0,54257.0,54581.5,56784.53571428572,15216.610671674996,15723.53536654773,0.0,0.0,-4153.0
2013-03-28,BEVERAGES,55021.0,0,82104,97.24,0.0,0.0,3,3,13,28,1,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17,86,48816.0,38349.0,39000.0,42710.0,43078.0,6205.0,54505.28571428572,54852.42857142857,56928.28571428572,15093.631998454244,15578.172040065883,0.0,0.0,10467.0
2013-03-29,BEVERAGES,61859.0,0,77781,97.17,0.0,0.0,4,3,13,29,1,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,87,55021.0,50035.0,50897.0,56760.0,56866.0,6838.0,56887.0,55996.78571428572,57367.96428571428,13331.909178108484,14897.671352254374,0.0,0.0,4986.0
2013-03-30,BEVERAGES,76877.0,0,90611,97.14666666666666,0.0,0.0,5,3,13,30,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,88,61859.0,75968.0,76480.0,86736.0,79804.0,15018.0,58576.142857142855,56779.78571428572,57550.07142857143,13065.458716638705,14897.089153866344,0.0,0.0,-14109.0
2013-03-31,BEVERAGES,77181.0,0,82563,97.12333333333332,0.0,0.0,6,3,13,31,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,89,76877.0,75445.0,82922.0,87516.0,72329.0,304.0,58706.0,56808.142857142855,57197.96428571428,13270.0408565058,14937.796072931376,0.0,0.0,1432.0
2013-04-01,BEVERAGES,60003.0,0,81678,97.1,1.0,1.0,0,4,14,1,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,90,77181.0,49999.0,47279.0,55912.0,44528.0,-17178.0,58954.0,56398.07142857143,56828.857142857145,13645.908312262196,14227.698670412035,0.0,0.0,27182.0
2013-04-02,BEVERAGES,54001.0,0,77165,97.23,0.0,0.0,1,4,14,2,2,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,91,60003.0,42925.0,42741.0,51642.0,42741.0,-6002.0,60383.142857142855,57306.92857142857,56974.96428571428,13063.15500977936,14005.026764944569,0.0,0.0,17078.0
2013-04-03,BEVERAGES,55428.0,0,78534,95.02,0.0,0.0,2,4,14,3,2,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,92,54001.0,48816.0,47078.0,50242.0,46479.0,1427.0,61965.42857142857,58111.21428571428,57059.21428571428,11122.767279430993,13415.07963896528,0.0,0.0,5185.0
2013-04-04,BEVERAGES,46133.0,0,72217,93.26,0.0,0.0,3,4,14,4,2,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,93,55428.0,55021.0,38349.0,46922.0,46000.0,-9295.0,62910.0,58707.642857142855,57244.42857142857,10048.886389379992,13067.94182256803,0.0,0.0,407.0
2013-04-05,BEVERAGES,54537.0,0,74928,92.76,0.0,0.0,4,4,14,5,2,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,94,46133.0,61859.0,50035.0,51941.0,62111.0,8404.0,61640.28571428572,59263.642857142855,57216.25,11646.364908048708,12276.756478478705,0.0,0.0,-15726.0
2013-04-06,BEVERAGES,85635.0,0,94844,92.96,0.0,0.0,5,4,14,6,2,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,95,54537.0,76877.0,75968.0,78980.0,67626.0,31098.0,60594.28571428572,59585.21428571428,57308.96428571428,11948.339587773766,12073.713769231048,0.0,0.0,-22340.0
2013-04-07,BEVERAGES,85682.0,0,89183,93.16,0.0,0.0,6,4,14,7,2,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,96,85635.0,77181.0,75445.0,78363.0,52689.0,47.0,61845.42857142857,60275.71428571428,57546.642857142855,14186.437136189175,13297.165513045233,0.0,0.0,8454.0
2013-04-08,BEVERAGES,52047.0,0,75161,93.36,0.0,0.0,0,4,15,8,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,97,85682.0,60003.0,49999.0,50501.0,47522.0,-33635.0,63059.857142857145,61006.92857142857,57808.03571428572,15969.80755914705,14428.808317253535,0.0,0.0,25679.0
2013-04-09,BEVERAGES,47664.0,0,71416,94.18,0.0,0.0,1,4,15,9,2,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,98,52047.0,54001.0,42925.0,42810.0,47483.0,-4383.0,61923.28571428572,61153.21428571428,57863.25,16498.002936863653,14318.58087713883,0.0,0.0,-1954.0
2013-04-10,BEVERAGES,49143.0,0,73989,94.59,0.0,0.0,2,4,15,10,2,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,99,47664.0,55428.0,48816.0,45023.0,46575.0,1479.0,61018.0,61491.71428571428,58036.607142857145,17165.52954809919,13904.536649976884,0.0,0.0,-7764.0
2013-04-11,BEVERAGES,47706.0,0,71907,93.44,0.0,0.0,3,4,15,11,2,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,100,49143.0,46133.0,55021.0,39000.0,41366.0,-1437.0,60120.142857142855,61515.07142857143,58183.75,17663.790273028142,13881.861953722157,0.0,0.0,3010.0
2013-04-12,BEVERAGES,55103.0,0,75403,91.23,1.0,1.0,4,4,15,12,2,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,101,47706.0,54537.0,61859.0,50897.0,51659.0,7397.0,60344.857142857145,60992.57142857143,58494.67857142857,17465.080507769122,14277.132305863168,0.0,0.0,-6831.0
2013-04-13,BEVERAGES,78856.0,0,92166,90.40333333333334,0.0,0.0,5,4,15,13,2,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,102,55103.0,85635.0,76877.0,76480.0,81385.0,23753.0,60425.71428571428,60510.0,58644.892857142855,17434.995074220555,14359.533659665893,0.0,0.0,-30532.0
2013-04-14,BEVERAGES,81527.0,0,86803,89.57666666666667,1.0,1.0,6,4,15,14,2,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,103,78856.0,85682.0,77181.0,82922.0,66902.0,2671.0,59457.28571428572,60651.357142857145,58729.75,15924.178091969512,14541.632463681372,0.0,0.0,-6826.0
2013-04-15,BEVERAGES,52278.0,0,76251,88.75,0.0,0.0,0,4,16,15,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,104,81527.0,52047.0,60003.0,47279.0,51503.0,-29249.0,58863.71428571428,60961.78571428572,58679.92857142857,14823.107228403962,14961.957452041632,0.0,0.0,29480.0
2013-04-16,BEVERAGES,50665.0,0,74187,88.73,0.0,0.0,1,4,16,16,2,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,105,52278.0,47664.0,54001.0,42741.0,43284.0,-1613.0,58896.71428571428,60410.0,58858.46428571428,14805.64905381597,15141.406651451382,0.0,0.0,4614.0
2013-04-17,BEVERAGES,48816.0,0,74529,86.65,0.0,0.0,2,4,16,17,2,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,106,50665.0,49143.0,55428.0,47078.0,47312.0,-1849.0,59325.42857142857,60171.71428571428,59141.46428571428,14465.73043272896,15275.68042764293,0.0,0.0,1522.0
2013-04-18,BEVERAGES,41733.0,0,68343,87.83,0.0,0.0,3,4,16,18,2,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,107,48816.0,47706.0,46133.0,38349.0,41292.0,-7083.0,59278.71428571428,59699.42857142857,59203.53571428572,14504.568840130858,15533.660798478846,0.0,0.0,1110.0
2013-04-19,BEVERAGES,51501.0,0,73119,88.04,0.0,0.0,4,4,16,19,2,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,108,41733.0,55103.0,54537.0,50035.0,46619.0,9768.0,58425.42857142857,59385.142857142855,59324.392857142855,15444.107839314667,15870.126134233597,0.0,0.0,-13370.0
2013-04-20,BEVERAGES,76492.0,0,92014,88.29666666666667,0.0,0.0,5,4,16,20,2,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,109,51501.0,78856.0,85635.0,75968.0,69259.0,24991.0,57910.857142857145,59168.28571428572,59376.75,15632.117018375671,15961.94654328068,0.0,0.0,-27355.0
2013-04-21,BEVERAGES,77845.0,0,87401,88.55333333333334,1.0,1.0,6,4,16,21,2,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,110,76492.0,81527.0,85682.0,75445.0,77335.0,1353.0,57573.142857142855,58515.21428571428,59395.46428571428,15121.39763633608,14950.795364376878,0.0,0.0,-5035.0
2013-04-22,BEVERAGES,47858.0,0,75157,88.81,0.0,0.0,0,4,17,22,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,111,77845.0,52278.0,52047.0,49999.0,48718.0,-29987.0,57047.142857142855,57955.42857142857,59481.17857142857,14184.288178927312,13969.91546538098,0.0,0.0,25567.0
2013-04-23,BEVERAGES,43351.0,0,71657,89.21,0.0,0.0,1,4,17,23,2,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,112,47858.0,50665.0,47664.0,42925.0,41366.0,-4507.0,56415.71428571428,57656.21428571428,59404.71428571428,14526.234287365343,14149.901120494826,0.0,0.0,-2807.0
2013-04-24,BEVERAGES,47338.0,0,73003,91.07,0.0,0.0,2,4,17,24,2,0.9749279121818236,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,113,43351.0,48816.0,49143.0,48816.0,44791.0,3987.0,55370.857142857145,57348.142857142855,59419.92857142857,15253.649043519295,14428.396733030138,0.0,0.0,-5465.0
2013-04-25,BEVERAGES,42482.0,0,68917,93.27,0.0,0.0,3,4,17,25,2,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,114,47338.0,41733.0,47706.0,55021.0,42710.0,-4856.0,55159.71428571428,57219.21428571428,59367.142857142855,15369.295296296506,14515.159434607956,0.0,0.0,5605.0
2013-04-26,BEVERAGES,51952.0,0,72813,92.63,0.0,0.0,4,4,17,26,2,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,115,42482.0,51501.0,55103.0,61859.0,56760.0,9470.0,55266.71428571428,56846.07142857143,58919.32142857143,15262.476139367487,14841.99612049066,0.0,0.0,-9019.0
2013-04-27,BEVERAGES,78796.0,0,89825,93.11666666666666,0.0,0.0,5,4,17,27,2,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,116,51952.0,76492.0,78856.0,76877.0,86736.0,26844.0,55331.142857142855,56621.0,58565.5,15244.872016829917,14894.261858437052,0.0,0.0,-24540.0
2013-04-28,BEVERAGES,83114.0,0,86773,93.60333333333334,0.0,0.0,6,4,17,28,2,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,117,78796.0,77845.0,81527.0,77181.0,87516.0,4318.0,55660.28571428572,56616.71428571428,58634.03571428572,15792.909999050054,14887.378792007134,0.0,0.0,951.0
2013-04-29,BEVERAGES,48706.0,0,72009,94.09,1.0,1.0,0,4,18,29,2,0.0,1.0,0.8660254037844387,-0.4999999999999998,118,83114.0,47858.0,52278.0,60003.0,55912.0,-34408.0,56413.0,56730.07142857143,58845.92857142857,17098.123025642315,15096.220955866807,0.0,0.0,35256.0
2013-04-30,BEVERAGES,46729.0,0,73513,93.22,0.0,0.0,1,4,18,30,2,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,119,48706.0,43351.0,50665.0,54001.0,51642.0,-1977.0,56534.142857142855,56474.92857142857,58442.46428571428,17030.27676843579,15207.032646692876,0.0,0.0,5355.0
2013-05-01,BEVERAGES,75080.0,0,90548,90.74,1.0,1.0,2,5,18,1,2,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,120,46729.0,47338.0,48816.0,55428.0,50242.0,28351.0,57016.71428571428,56193.78571428572,58182.75,16637.795353895155,15358.33830243651,0.0,0.0,-609.0
2013-05-02,BEVERAGES,51235.0,0,73639,93.7,0.0,0.0,3,5,18,2,2,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387,121,75080.0,42482.0,41733.0,46133.0,46922.0,-23845.0,60979.857142857145,58069.78571428572,58884.607142857145,17241.21359251886,15979.331179700546,0.0,0.0,32598.0
2013-05-03,BEVERAGES,56825.0,0,76685,95.25,0.0,0.0,4,5,18,3,2,-0.433883739117558,-0.9009688679024191,0.4999999999999999,-0.8660254037844387,122,51235.0,51952.0,51501.0,54537.0,51941.0,5590.0,62230.28571428572,58748.5,59066.82142857143,15944.71279885891,15424.211510828352,0.0,0.0,-717.0
2013-05-04,BEVERAGES,82517.0,0,96689,95.43333333333334,0.0,0.0,5,5,18,4,2,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387,123,56825.0,78796.0,76492.0,85635.0,78980.0,25692.0,62926.42857142857,59128.78571428572,59148.53571428572,15521.946021221507,15296.884711392284,0.0,0.0,-21971.0
2013-05-05,BEVERAGES,91697.0,0,95212,95.61666666666666,0.0,0.0,6,5,18,5,2,-0.7818314824680299,0.6234898018587334,0.4999999999999999,-0.8660254037844387,124,82517.0,83114.0,77845.0,85682.0,78363.0,9180.0,63458.0,59559.142857142855,59037.17857142857,16204.701293143296,15895.972687140928,0.0,0.0,-597.0
2013-05-06,BEVERAGES,53947.0,0,76383,95.8,0.0,0.0,0,5,19,6,2,0.0,1.0,0.4999999999999999,-0.8660254037844387,125,91697.0,48706.0,47858.0,52047.0,50501.0,-37750.0,64684.142857142855,60548.57142857143,59252.0,18148.06171862045,17474.440775532225,0.0,0.0,42991.0
2013-05-07,BEVERAGES,45921.0,0,72563,95.28,0.0,0.0,1,5,19,7,2,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,126,53947.0,46729.0,43351.0,47664.0,42810.0,-8026.0,65432.857142857145,60983.5,59319.857142857145,17474.61988550415,17208.02788392229,0.0,0.0,7218.0
2013-05-08,BEVERAGES,48987.0,0,74802,96.24,0.0,0.0,2,5,19,8,2,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,127,45921.0,75080.0,47338.0,49143.0,45023.0,3066.0,65317.42857142857,61167.07142857143,59257.607142857145,17620.81662747353,17018.11925550254,0.0,0.0,-29159.0
2013-05-09,BEVERAGES,44287.0,0,75025,96.09,0.0,0.0,3,5,19,9,2,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387,128,48987.0,51235.0,42482.0,47706.0,39000.0,-4700.0,61589.857142857145,61284.857142857145,59252.03571428572,17967.891022864194,16920.469337267437,0.0,0.0,-2248.0
2013-05-10,BEVERAGES,51200.0,0,80282,95.81,0.0,0.0,4,5,19,10,2,-0.433883739117558,-0.9009688679024191,0.4999999999999999,-0.8660254037844387,129,44287.0,56825.0,51952.0,55103.0,50897.0,6913.0,60597.28571428572,61413.78571428572,59129.92857142857,18807.53421472616,16772.405607831788,0.0,0.0,-12538.0
2013-05-11,BEVERAGES,86983.0,0,111484,95.46,1.0,1.0,5,5,19,11,2,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387,130,51200.0,82517.0,78796.0,78856.0,76480.0,35783.0,59793.71428571428,61360.07142857143,58990.53571428572,19113.25373237365,16806.20834217701,0.0,0.0,-31317.0
2013-05-12,BEVERAGES,69816.0,0,89790,95.11,1.0,2.0,6,5,19,12,2,-0.7818314824680299,0.6234898018587334,0.4999999999999999,-0.8660254037844387,131,86983.0,91697.0,83114.0,81527.0,82922.0,-17167.0,60431.71428571428,61944.857142857145,59280.78571428572,20049.767436010206,17584.012685728732,0.0,0.0,-4714.0
2013-05-13,BEVERAGES,58821.0,0,75625,94.76,0.0,0.0,0,5,20,13,2,0.0,1.0,0.4999999999999999,-0.8660254037844387,132,69816.0,53947.0,48706.0,52278.0,47279.0,-10995.0,57305.857142857145,60995.0,58862.53571428572,15567.642151040634,16688.915271013804,0.0,0.0,15869.0
2013-05-14,BEVERAGES,48364.0,0,71589,93.96,0.0,0.0,1,5,20,14,2,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,133,58821.0,45921.0,46729.0,50665.0,42741.0,-10457.0,58002.142857142855,61717.5,59096.21428571428,15501.230772948013,16331.08709816016,0.0,0.0,12900.0
2013-05-15,BEVERAGES,49711.0,0,74401,93.95,0.0,0.0,2,5,20,15,2,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,134,48364.0,48987.0,75080.0,48816.0,47078.0,1347.0,58351.142857142855,61834.28571428572,59014.03571428572,15208.638503918,16221.13332106549,0.0,0.0,-623.0
2013-05-16,BEVERAGES,46763.0,0,71287,94.85,0.0,0.0,3,5,20,16,2,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387,135,49711.0,44287.0,51235.0,41733.0,38349.0,-2948.0,58454.57142857143,60022.21428571428,59046.0,15136.633959340088,16043.646790401664,0.0,0.0,5424.0
2013-05-17,BEVERAGES,54176.0,0,74705,95.72,0.0,0.0,4,5,20,17,2,-0.433883739117558,-0.9009688679024191,0.4999999999999999,-0.8660254037844387,136,46763.0,51200.0,56825.0,51501.0,50035.0,7413.0,58808.28571428572,59702.78571428572,59225.642857142855,14774.99628555267,16274.909841076404,0.0,0.0,-4437.0
